s,CH1[V]
-4.448E-01,1.16E+00
-4.444E-01,-1.24E+00
-4.444E-01,1.26E+00
-4.440E-01,-1.26E+00
-4.440E-01,1.30E+00
-4.436E-01,-1.24E+00
-4.436E-01,1.34E+00
-4.432E-01,-8.03E-01
-4.432E-01,1.24E+00
-4.428E-01,-8.43E-01
-4.428E-01,1.24E+00
-4.424E-01,-9.23E-01
-4.424E-01,1.26E+00
-4.420E-01,-1.24E+00
-4.420E-01,5.97E-01
-4.416E-01,-1.08E+00
-4.416E-01,3.37E-01
-4.412E-01,-5.83E-01
-4.412E-01,1.24E+00
-4.408E-01,-1.06E+00
-4.408E-01,6.17E-01
-4.404E-01,-1.26E+00
-4.404E-01,1.24E+00
-4.400E-01,-1.22E+00
-4.400E-01,1.28E+00
-4.396E-01,-5.63E-01
-4.396E-01,1.26E+00
-4.392E-01,-7.43E-01
-4.392E-01,6.97E-01
-4.388E-01,-1.18E+00
-4.388E-01,9.57E-01
-4.384E-01,-9.03E-01
-4.384E-01,1.22E+00
-4.380E-01,-1.18E+00
-4.380E-01,1.04E+00
-4.376E-01,-1.10E+00
-4.376E-01,1.12E+00
-4.372E-01,-1.28E+00
-4.372E-01,1.10E+00
-4.368E-01,-7.03E-01
-4.368E-01,1.06E+00
-4.364E-01,-1.16E+00
-4.364E-01,8.97E-01
-4.360E-01,-1.26E+00
-4.360E-01,1.26E+00
-4.356E-01,-1.14E+00
-4.356E-01,1.26E+00
-4.352E-01,-1.18E+00
-4.352E-01,4.17E-01
-4.348E-01,-5.83E-01
-4.348E-01,1.24E+00
-4.344E-01,-5.83E-01
-4.344E-01,1.28E+00
-4.340E-01,-8.83E-01
-4.340E-01,9.37E-01
-4.336E-01,-1.02E+00
-4.336E-01,1.24E+00
-4.332E-01,-6.23E-01
-4.332E-01,1.24E+00
-4.328E-01,-1.26E+00
-4.328E-01,6.17E-01
-4.324E-01,-6.83E-01
-4.324E-01,9.97E-01
-4.320E-01,-1.26E+00
-4.320E-01,9.37E-01
-4.316E-01,-1.20E+00
-4.316E-01,3.97E-01
-4.312E-01,-6.23E-01
-4.312E-01,1.14E+00
-4.308E-01,-1.22E+00
-4.308E-01,4.17E-01
-4.304E-01,-1.14E+00
-4.304E-01,1.12E+00
-4.300E-01,-5.83E-01
-4.300E-01,1.28E+00
-4.296E-01,-1.22E+00
-4.296E-01,1.24E+00
-4.292E-01,-1.10E+00
-4.292E-01,1.34E+00
-4.288E-01,-1.16E+00
-4.288E-01,1.20E+00
-4.284E-01,-7.23E-01
-4.284E-01,1.18E+00
-4.280E-01,-9.03E-01
-4.280E-01,7.57E-01
-4.276E-01,-1.02E+00
-4.276E-01,1.04E+00
-4.272E-01,-1.02E+00
-4.272E-01,1.12E+00
-4.268E-01,-1.08E+00
-4.268E-01,1.26E+00
-4.264E-01,-1.26E+00
-4.264E-01,1.30E+00
-4.260E-01,-1.26E+00
-4.260E-01,1.26E+00
-4.256E-01,-1.26E+00
-4.256E-01,9.97E-01
-4.252E-01,-7.63E-01
-4.252E-01,1.30E+00
-4.248E-01,-1.26E+00
-4.248E-01,1.24E+00
-4.244E-01,-1.12E+00
-4.244E-01,7.37E-01
-4.240E-01,-7.23E-01
-4.240E-01,8.97E-01
