s,CH1[V]
-4.592E-01,-2.03E-02
-4.592E-01,1.77E-02
-4.588E-01,-1.19E-02
-4.588E-01,1.49E-02
-4.584E-01,-1.23E-02
-4.584E-01,2.01E-02
-4.580E-01,-1.95E-02
-4.580E-01,8.90E-03
-4.576E-01,-7.90E-03
-4.576E-01,1.65E-02
-4.572E-01,-1.15E-02
-4.572E-01,1.41E-02
-4.568E-01,-1.99E-02
-4.568E-01,1.37E-02
-4.564E-01,-2.67E-02
-4.564E-01,1.25E-02
-4.560E-01,-2.35E-02
-4.560E-01,2.09E-02
-4.556E-01,-2.15E-02
-4.556E-01,1.33E-02
-4.552E-01,-1.07E-02
-4.552E-01,8.90E-03
-4.548E-01,-1.15E-02
-4.548E-01,1.13E-02
-4.544E-01,-2.31E-02
-4.544E-01,2.09E-02
-4.540E-01,-1.59E-02
-4.540E-01,8.50E-03
-4.536E-01,-1.43E-02
-4.536E-01,1.85E-02
-4.532E-01,-1.63E-02
-4.532E-01,1.29E-02
-4.528E-01,-1.67E-02
-4.528E-01,1.17E-02
-4.524E-01,-1.43E-02
-4.524E-01,1.65E-02
-4.520E-01,-2.11E-02
-4.520E-01,1.85E-02
-4.516E-01,-1.03E-02
-4.516E-01,1.97E-02
-4.512E-01,-2.55E-02
-4.512E-01,1.13E-02
-4.508E-01,-1.15E-02
-4.508E-01,8.10E-03
-4.504E-01,-1.43E-02
-4.504E-01,1.17E-02
-4.500E-01,-1.19E-02
-4.500E-01,1.49E-02
-4.496E-01,-2.11E-02
-4.496E-01,1.09E-02
-4.492E-01,-1.15E-02
-4.492E-01,7.70E-03
-4.488E-01,-1.87E-02
-4.488E-01,1.97E-02
-4.484E-01,-2.39E-02
-4.484E-01,1.05E-02
-4.480E-01,-1.15E-02
-4.480E-01,1.65E-02
-4.476E-01,-2.03E-02
-4.476E-01,2.33E-02
-4.472E-01,-1.43E-02
-4.472E-01,2.13E-02
-4.468E-01,-1.79E-02
-4.468E-01,2.21E-02
-4.464E-01,-2.03E-02
-4.464E-01,1.81E-02
-4.460E-01,-2.91E-02
-4.460E-01,1.05E-02
-4.456E-01,-1.87E-02
-4.456E-01,2.81E-02
-4.452E-01,-1.27E-02
-4.452E-01,1.81E-02
-4.448E-01,-1.91E-02
-4.448E-01,1.57E-02
-4.444E-01,-1.67E-02
-4.444E-01,1.61E-02
-4.440E-01,-1.39E-02
-4.440E-01,1.05E-02
-4.436E-01,-1.07E-02
-4.436E-01,1.49E-02
-4.432E-01,-2.15E-02
-4.432E-01,1.49E-02
-4.428E-01,-2.07E-02
-4.428E-01,9.70E-03
-4.424E-01,-1.03E-02
-4.424E-01,1.61E-02
-4.420E-01,-1.07E-02
-4.420E-01,1.57E-02
-4.416E-01,-1.23E-02
-4.416E-01,1.49E-02
-4.412E-01,-1.23E-02
-4.412E-01,1.77E-02
-4.408E-01,-1.47E-02
-4.408E-01,8.90E-03
-4.404E-01,-2.23E-02
-4.404E-01,2.09E-02
-4.400E-01,-1.27E-02
-4.400E-01,1.73E-02
-4.396E-01,-1.79E-02
-4.396E-01,1.57E-02
-4.392E-01,-1.63E-02
-4.392E-01,2.17E-02
-4.388E-01,-1.39E-02
-4.388E-01,1.41E-02
-4.384E-01,-2.51E-02
-4.384E-01,1.29E-02
-4.380E-01,-2.11E-02
-4.380E-01,1.65E-02
-4.376E-01,-2.55E-02
-4.376E-01,1.61E-02
-4.372E-01,-2.07E-02
-4.372E-01,1.45E-02
-4.368E-01,-2.39E-02
-4.368E-01,1.29E-02
-4.364E-01,-2.11E-02
-4.364E-01,1.73E-02
-4.360E-01,-1.43E-02
-4.360E-01,1.57E-02
-4.356E-01,-9.50E-03
-4.356E-01,1.93E-02
-4.352E-01,-1.27E-02
-4.352E-01,8.90E-03
-4.348E-01,-2.07E-02
-4.348E-01,1.57E-02
-4.344E-01,-1.27E-02
-4.344E-01,1.45E-02
-4.340E-01,-1.83E-02
-4.340E-01,1.09E-02
-4.336E-01,-1.55E-02
-4.336E-01,1.29E-02
-4.332E-01,-1.87E-02
-4.332E-01,1.61E-02
-4.328E-01,-2.11E-02
-4.328E-01,1.77E-02
-4.324E-01,-1.07E-02
-4.324E-01,1.89E-02
-4.320E-01,-8.70E-03
-4.320E-01,1.81E-02
-4.316E-01,-1.75E-02
-4.316E-01,9.30E-03
-4.312E-01,-9.90E-03
-4.312E-01,8.50E-03
-4.308E-01,-2.11E-02
-4.308E-01,1.61E-02
-4.304E-01,-2.07E-02
-4.304E-01,1.05E-02
-4.300E-01,-1.91E-02
-4.300E-01,1.13E-02
-4.296E-01,-1.83E-02
-4.296E-01,1.77E-02
-4.292E-01,-2.15E-02
-4.292E-01,1.01E-02
-4.288E-01,-2.67E-02
-4.288E-01,1.49E-02
-4.284E-01,-2.35E-02
-4.284E-01,2.01E-02
-4.280E-01,-1.23E-02
-4.280E-01,1.41E-02
-4.276E-01,-2.11E-02
-4.276E-01,1.01E-02
-4.272E-01,-2.23E-02
-4.272E-01,1.61E-02
-4.268E-01,-1.87E-02
-4.268E-01,1.49E-02
-4.264E-01,-1.23E-02
-4.264E-01,8.50E-03
-4.260E-01,-2.23E-02
-4.260E-01,1.45E-02
-4.256E-01,-1.75E-02
-4.256E-01,1.85E-02
-4.252E-01,-2.75E-02
-4.252E-01,2.01E-02
-4.248E-01,-2.03E-02
-4.248E-01,8.50E-03
-4.244E-01,-1.83E-02
-4.244E-01,1.29E-02
-4.240E-01,-1.19E-02
-4.240E-01,1.49E-02
-4.236E-01,-1.67E-02
-4.236E-01,1.49E-02
-4.232E-01,-1.35E-02
-4.232E-01,1.21E-02
-4.228E-01,-1.47E-02
-4.228E-01,1.73E-02
-4.224E-01,-1.67E-02
-4.224E-01,9.30E-03
-4.220E-01,-1.39E-02
-4.220E-01,7.70E-03
-4.216E-01,-1.19E-02
-4.216E-01,8.50E-03
-4.212E-01,-1.19E-02
-4.212E-01,1.65E-02
-4.208E-01,-2.07E-02
-4.208E-01,1.05E-02
