Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
278056.5;-80.876541137695313;-92.84344482421875
278552;-74.055931091308594;-88.759246826171875
279047.5;-75.717582702636719;-92.311561584472656
279543;-82.61328125;-99.312049865722656
280038.5;-75.571609497070313;-90.693496704101563
280534;-75.573089599609375;-103.89977264404297
281029.5;-74.390068054199219;-91.006149291992188
281525;-72.317337036132812;-85.935173034667969
282020.5;-76.550010681152344;-108.04944610595703
282516;-75.480209350585937;-86.445075988769531
283011.5;-75.069190979003906;-99.388381958007813
283507;-74.6416015625;-89.160736083984375
284002.5;-74.658485412597656;-87.016242980957031
284498;-78.288833618164063;-104.37655639648437
284993.5;-76.896316528320312;-76.896316528320312
285489;-78.851799011230469;-78.851799011230469
285984.5;-79.726837158203125;-86.593162536621094
286480;-77.448646545410156;-110.95954895019531
286975.5;-78.672050476074219;-78.672050476074219
287471;-79.895858764648438;-106.79402923583984
287966.5;-81.05859375;-116.72255706787109
288462;-76.411773681640625;-88.375503540039063
288957.5;-78.4332275390625;-93.502983093261719
289453;-76.235626220703125;-85.158111572265625
289948.5;-76.33807373046875;-92.0408935546875
290444;-73.644287109375;-92.739425659179688
290939.5;-75.409126281738281;-87.018096923828125
291435;-77.311759948730469;-91.71478271484375
291930.5;-79.230369567871094;-96.67755126953125
292426;-75.417861938476563;-91.467987060546875
292921.5;-77.449867248535156;-77.449867248535156
293417;-78.118270874023438;-86.275711059570313
293912.5;-73.842002868652344;-85.481338500976563
294408;-78.916175842285156;-93.683944702148438
294903.5;-78.021453857421875;-89.646377563476562
295399;-74.729934692382812;-92.583938598632813
295894.5;-77.915985107421875;-86.236831665039063
296390;-76.98248291015625;-105.32505035400391
296885.5;-75.743232727050781;-106.61603546142578
297381;-79.338691711425781;-103.37471771240234
297876.5;-81.496894836425781;-89.448844909667969
298372;-75.596839904785156;-92.050765991210937
298867.5;-80.954231262207031;-91.692634582519531
299363;-82.800880432128906;-99.582183837890625
299858.5;-77.351692199707031;-91.585830688476562
300354;-75.191261291503906;-86.458900451660156
300849.5;-78.233619689941406;-87.673294067382812
301345;-81.078132629394531;-107.23671722412109
301840.5;-78.191444396972656;-87.289863586425781
302336;-75.825759887695313;-92.974342346191406
302831.5;-75.476783752441406;-100.61307525634766
303327;-80.608650207519531;-99.716484069824219
303822.5;-80.051666259765625;-93.913536071777344
304318;-78.172088623046875;-119.33486938476562
304813.5;-77.196632385253906;-98.940170288085938
305309;-81.335197448730469;-92.514167785644531
305804.5;-80.842941284179688;-106.49356842041016
306300;-79.734016418457031;-88.353950500488281
306795.5;-77.835472106933594;-84.216041564941406
307291;-73.837547302246094;-104.75214385986328
307786.5;-77.331703186035156;-77.331703186035156
308282;-78.055572509765625;-89.132438659667969
308777.5;-77.942558288574219;-106.79402923583984
309273;-77.444969177246094;-101.50471496582031
309768.5;-79.912124633789063;-95.348236083984375
310264;-77.827781677246094;-100.38655090332031
310759.5;-78.095123291015625;-92.718055725097656
311255;-79.163627624511719;-87.989395141601563
311750.5;-82.405746459960938;-96.818977355957031
312246;-79.470024108886719;-97.744903564453125
312741.5;-80.190116882324219;-91.9525146484375
313237;-76.065055847167969;-91.573341369628906
313732.5;-77.315994262695313;-98.134178161621094
314228;-76.308990478515625;-118.06149291992187
314723.5;-72.507919311523438;-98.472465515136719
315219;-73.015098571777344;-99.629341125488281
315714.5;-74.853218078613281;-90.875709533691406
316210;-74.956161499023437;-87.414520263671875
316705.5;-76.859573364257812;-89.203346252441406
317201;-79.225852966308594;-88.729988098144531
317696.5;-80.059944152832031;-92.626068115234375
318192;-78.202133178710938;-87.964668273925781
318687.5;-78.657943725585937;-91.991676330566406
319183;-81.2218017578125;-94.925376892089844
319678.5;-84.446273803710938;-106.32157135009766
320174;-84.591583251953125;-97.317794799804687
320669.5;-79.728431701660156;-94.267608642578125
321165;-78.686180114746094;-78.686180114746094
321660.5;-72.922111511230469;-79.839149475097656
322156;-74.371971130371094;-86.77069091796875
322651.5;-79.87799072265625;-79.87799072265625
323147;-77.215126037597656;-92.345573425292969
323642.5;-76.865303039550781;-84.850799560546875
324138;-76.71917724609375;-83.313064575195313
324633.5;-78.1322021484375;-97.606430053710938
325129;-81.378471374511719;-93.561576843261719
325624.5;-75.391693115234375;-86.296058654785156
326120;-76.3564453125;-76.3564453125
326615.5;-76.679237365722656;-87.673294067382812
327111;-75.079917907714844;-84.003494262695313
327606.5;-75.231071472167969;-90.278167724609375
328102;-83.7718505859375;-96.439567565917969
328597.5;-77.019744873046875;-92.004776000976563
329093;-80.855644226074219;-89.90234375
329588.5;-81.590232849121094;-81.590232849121094
330084;-81.403579711914063;-95.833396911621094
330579.5;-78.103057861328125;-93.011054992675781
331075;-79.86907958984375;-96.472389221191406
331570.5;-82.842994689941406;-92.836235046386719
332066;-77.387542724609375;-113.01472473144531
332561.5;-73.307418823242188;-95.096733093261719
333057;-75.851234436035156;-86.559844970703125
333552.5;-78.547988891601563;-86.840919494628906
334048;-76.321365356445313;-85.119468688964844
334543.5;-74.982894897460938;-86.059867858886719
335039;-80.505165100097656;-93.044219970703125
335534.5;-79.116683959960938;-92.55596923828125
336030;-76.317596435546875;-95.85888671875
336525.5;-78.343719482421875;-88.700820922851563
337021;-78.909645080566406;-93.495193481445312
337516.5;-77.848945617675781;-92.836235046386719
338012;-85.530952453613281;-109.51747894287109
338507.5;-75.15069580078125;-88.723243713378906
339003;-78.785743713378906;-85.26904296875
339498.5;-76.311134338378906;-100.15739440917969
339994;-75.820159912109375;-80.8203125
340489.5;-77.14910888671875;-82.315071105957031
340985;-75.877799987792969;-84.782051086425781
341480.5;-79.105552673339844;-100.17417144775391
341976;-82.071548461914063;-92.707389831542969
342471.5;-79.843994140625;-94.61456298828125
342967;-76.449951171875;-89.93585205078125
343462.5;-79.299903869628906;-115.51349639892578
343958;-79.354713439941406;-93.70782470703125
344453.5;-74.310661315917969;-93.799995422363281
344949;-75.321800231933594;-85.042694091796875
345444.5;-81.32177734375;-81.32177734375
345940;-76.062973022460937;-87.917465209960938
346435.5;-76.303611755371094;-93.616622924804688
346931;-77.950996398925781;-106.28757476806641
347426.5;-79.597084045410156;-111.25502014160156
347922;-85.863784790039062;-114.80693817138672
348417.5;-77.477508544921875;-88.341049194335937
348913;-79.799667358398437;-93.828239440917969
349408.5;-80.083999633789063;-95.602294921875
349904;-74.911628723144531;-101.92556762695312
350399.5;-74.593795776367188;-93.2686767578125
350895;-79.668846130371094;-109.06211090087891
351390.5;-78.665695190429688;-87.558631896972656
351886;-76.832679748535156;-84.369758605957031
352381.5;-77.586471557617187;-95.314605712890625
352877;-79.726043701171875;-96.008247375488281
353372.5;-79.384552001953125;-100.36936187744141
353868;-79.027976989746094;-88.304595947265625
354363.5;-75.925018310546875;-84.853668212890625
354859;-77.574020385742188;-77.574020385742188
355354.5;-72.70953369140625;-86.035110473632813
355850;-75.853782653808594;-89.473297119140625
356345.5;-74.970893859863281;-86.77069091796875
356841;-74.320480346679688;-87.393295288085937
357336.5;-75.016189575195313;-90.517791748046875
357832;-84.698295593261719;-90.345573425292969
358327.5;-80.275459289550781;-80.275459289550781
358823;-74.591148376464844;-86.319869995117188
359318.5;-75.928611755371094;-85.285659790039063
359814;-80.728591918945313;-114.153564453125
360309.5;-77.475051879882813;-86.658424377441406
360805;-74.58453369140625;-84.757835388183594
361300.5;-76.840103149414063;-86.225028991699219
361796;-82.862419128417969;-90.369964599609375
362291.5;-76.016044616699219;-91.972068786621094
362787;-76.474586486816406;-85.241935729980469
363282.5;-78.353919982910156;-91.610832214355469
363778;-78.388694763183594;-93.215782165527344
